at_gw1,at_gw2,at_gw3,window,rip,gw1,gw2,gw3,rmse_mack,rmse_look,min_mack,min_look,max_mack,max_look
0.039810498,0.314067261,0.530473277,9,0.953348836,1.796162267,0.69252423,1.264827768,2.148616336,3.066541097,-2.572814876,-4.017232941,-1.053206114,-1.426884871
0.725091721,0.326288071,0.141168429,9,0.913944553,1.782927028,1.165981697,1.513435423,1.748092528,1.843786812,1.126122988,-2.18851731,2.019048425,-0.735121879
0.213618743,0.785384897,0.926733397,2,1.201047244,1.006086306,0.885965958,1.22005417,1.565568267,2.524878232,-1.433546946,-1.866402936,-1.641082379,-3.043690995
0.89190887,0.185571935,0.315326037,10,1.419326244,1.865422199,1.450704246,1.847654851,2.102901629,2.632284847,2.069875754,-1.532771702,1.545295065,-3.532477204
0.965799383,0.860370731,0.519818343,8,0.570643556,1.951929746,0.937589268,1.209841935,3.859466321,2.725640037,2.270857819,-0.396275888,5.21305112,4.069346161
0.883361482,0.846868991,0.428304815,13,0.838353422,0.873311735,1.844388261,0.648770965,2.698274082,1.424617196,1.413986286,-0.551593778,3.625834978,1.591469584
0.982916494,0.850664039,0.362909326,9,1.321944478,1.467863762,0.717047968,1.113040913,2.731217619,1.615160943,2.624047056,0.038591975,2.308576911,-1.532720485
0.19613064,0.407323197,0.548939165,2,0.768025184,1.407439401,1.143371141,1.149427021,1.715407872,2.518578419,-1.949264398,-3.621956099,1.688050755,1.319262749
0.67053819,0.007316897,0.328520583,7,0.771045639,0.613813333,0.565632715,0.904550859,2.636250052,2.170775088,0.66171661,-2.841255925,4.136244727,1.985105292
0.037780673,0.266559442,0.233121512,5,1.369385671,1.381764345,1.403317083,1.090364605,2.50174578,4.193177737,-2.389727868,-3.690014008,-2.582781901,-4.770745346
0.09874891,0.568114207,0.124993979,10,0.731011023,1.466799012,1.946318871,1.535114638,2.092288913,2.554250591,-2.668135038,-3.661292547,1.545664125,0.795566427
0.342185876,0.205369728,0.882718302,11,1.718371768,1.903030072,1.046170536,1.307613869,1.157969676,3.132821397,-0.87392761,-2.448263923,-1.431368446,-3.832001326
0.355330391,0.901013286,0.39720744,13,1.003721391,0.736003731,1.332675145,1.326345095,0.924969106,1.813695518,-1.07854285,-1.985573979,0.163738087,-1.289809598
0.390240047,0.341575935,0.043370424,11,1.944093037,1.873660165,1.287849476,0.74933818,0.942627168,3.650178141,-0.627591986,-2.968299738,-1.208266643,-4.348747232
0.302800337,0.467120779,0.212361487,2,1.309215573,1.194811684,1.59549359,1.765667938,1.146210909,3.299202088,-0.914659963,-2.483111257,-1.246812278,-4.077080238
0.544505423,0.81066376,0.416037419,4,0.527791029,0.579312506,1.166338366,0.90692885,3.484691924,3.107845623,-0.31752674,-2.396268496,5.997581627,4.590706755
0.959178563,0.703538349,0.978448191,7,1.090091687,1.398661167,1.408228081,1.149742549,2.840364543,1.249391275,2.693491031,0.689538213,2.47520785,-0.712342022
0.297779445,0.679683696,0.706482734,5,0.514487828,0.580592036,1.527943515,0.508102228,3.338819802,3.436586195,-1.97997716,-3.536242096,5.56425243,4.7206687
0.752969485,0.704067003,0.323679698,5,0.595356338,1.167690327,0.841384784,0.949674332,3.384508699,2.606683296,1.210714962,-1.676067362,5.117295874,3.847964402
0.569334357,0.103408704,0.924028526,9,1.121172372,1.279542797,1.694571177,1.690228313,0.562375355,2.435429751,0.386025376,-1.655699061,-0.120852161,-3.237206231
