at_gw1,at_gw2,at_gw3,window,rip,gw1,gw2,gw3,hyp_lag,hyp_frac1,hyp_frac2,hyp_frac3,rmse_mack,rmse_look,min_mack,min_look,max_mack,max_look
0.042210481,0.360833126,0.142657546,5,1.574166379,1.883491853,0.999030289,1.847814672,13,0.714283283,0.194396875,0.632397549,2.557186099,4.409043648,-2.013448481,-2.727816329,-3.110913323,-5.984333892
0.141176101,0.509193037,0.224091867,5,1.633561807,0.915263255,0.634696387,1.527553145,20,0.627227076,0.454662508,0.30106295,1.942533531,4.038308854,-1.440241275,-2.438612524,-2.49637693,-5.549828555
0.360135159,0.447827893,0.062143025,12,1.431121482,0.715449943,1.147309372,1.932028236,3,0.521861145,0.796726035,0.910564927,1.093939515,3.898852066,-0.77861489,-2.233115848,-1.330594531,-5.397079269
0.838050171,0.844374359,0.053120741,12,1.746685459,0.737772984,1.274701904,0.988770326,16,0.193252303,0.862245219,0.695823323,1.580128596,2.434096057,1.593272387,-0.544087258,0.935240526,-3.846320896
0.97862108,0.193539326,0.619702466,9,0.678777643,1.295677411,0.658625268,1.39602096,2,0.953305506,0.764366913,0.768827694,3.657830665,1.875417199,2.547902608,2.403387746,3.8278174,-0.072077029
0.19054343,0.554917428,0.862157514,4,0.678661455,1.032535003,0.981422514,1.602993243,19,0.805518675,0.686995335,0.897211001,0.434808082,1.387773702,0.23878647,1.68453981,-0.262365806,-1.552982536
0.511241635,0.131102607,0.005201152,6,1.841795187,1.571235844,1.628026065,0.985042033,14,0.40164693,0.921911509,0.811161634,0.543799763,4.014783225,0.409869867,-2.280121977,-0.568159121,-5.620790317
0.607749536,0.342154404,0.151533964,2,1.250918003,1.79530405,1.377391631,1.44511366,9,0.656168807,0.90704435,0.890583823,1.061402035,3.157949775,1.010187123,-1.380582151,0.162047176,-4.611519254
0.330770101,0.971321934,0.551371701,8,1.629770826,1.516478288,0.934993185,1.96690294,22,0.506643615,0.376518675,0.479215303,1.143318094,2.735592025,-0.636394253,-0.938777413,-1.669973179,-4.181343782
0.142677299,0.574089537,0.343448917,9,0.844351341,1.735373141,0.65885724,1.898628411,22,0.478367232,0.067921183,0.074269573,1.206614871,2.075794642,-1.119719127,-2.038528048,-1.039064097,-1.609641443
0.706720708,0.449318626,0.554880579,13,0.818048862,1.654512885,1.913127809,1.583848525,5,0.956717345,0.332997923,0.094221438,1.601509591,0.812014131,1.343477673,-0.399179998,1.002707323,-0.896963611
0.081901356,0.696884703,0.653896871,8,0.770815113,1.771561879,0.925021365,1.809909031,21,0.148882483,0.083774829,0.947425597,1.622852952,1.732522806,-2.028749271,0.352954592,0.003787367,-2.884419969
0.881964163,0.72528517,0.945014105,5,0.908474318,1.717333472,1.308929936,1.156847719,21,0.094744145,0.606261697,0.993286103,2.928801632,1.54737783,2.49132478,1.784680019,3.024253648,-1.401430879
0.759764912,0.784217207,0.821686664,10,0.798684922,1.349599722,1.256640575,0.564242841,2,0.070771351,0.873439507,0.567600351,2.314630787,1.322887903,1.124473351,1.68212688,3.148062992,-0.373775896
0.219349155,0.940956454,0.041856252,5,0.758226247,1.414409264,1.929058334,1.237417181,8,0.414035992,0.129565929,0.732651138,0.681408168,1.194298357,-0.999217844,0.977828082,0.055058925,-1.753185052
0.368669875,0.662920939,0.154921978,6,0.621006703,1.093596792,0.965469222,1.52434332,23,0.67903119,0.345012629,0.129725809,1.027210417,0.921008329,0.780551896,0.020189345,0.993829212,-0.186805451
0.846138577,0.012591713,0.43830316,4,1.473752049,0.853629028,1.457024643,1.16928837,20,0.629446347,0.494434015,0.009660386,2.240174598,2.749820961,2.363699318,-1.423627051,1.466577696,-3.94007421
0.550550502,0.045303798,0.240584318,9,0.661331061,1.597249727,1.820702294,1.659388059,3,0.196432435,0.012781941,0.087350466,1.783889791,2.070271953,0.059383006,-3.206019203,2.804353821,0.20410842
